date,month,quarter,year,month_sin,month_cos,demand_lag_1,demand_lag_2,demand_lag_3,demand_lag_6,demand_lag_12,demand_rolling_mean_3,demand_rolling_std_3,demand_rolling_mean_6,demand_rolling_std_6,rainfall_mm_lag_1,temp_max_c_lag_1,temp_min_c_lag_1,humidity_max_pct_lag_1,humidity_min_pct_lag_1,wind_speed_kmh_lag_1,solar_radiation_mj_m2_lag_1,sunshine_hours_lag_1,reservoir_level_m_lag_1,canal_discharge_cumecs_lag_1,groundwater_level_m_bgl_lag_1,total_population_lag_1,urban_population_lag_1,total_households_lag_1
2011-01-01,1,1,2011,0.49999999999999994,0.8660254037844387,3548910.0,3229182.4,3355649.6,2570558.1,3395717.5,3377914.0,161022.39651974125,2876853.35,568374.6404230567,74.19,34.24,23.18,82.1,55.3,3.49,351.94,206.7,33.84,8.0,9.22,885219.0,264648.0,178496.0
2011-02-01,2,1,2011,0.8660254037844386,0.5000000000000001,4025377.4,3548910.0,3229182.4,2286196.0,3192704.7,3601156.6,400660.5794371603,3119323.233333333,705377.8429599203,76.24,36.26,25.97,79.0,52.6,9.19,371.34,198.7,33.29,8.0,9.38,885532.0,263840.0,178344.0
2011-03-01,3,1,2011,1.0,6.123233995736766e-17,3508479.7,4025377.4,3548910.0,2270624.0,3359635.5,3694255.6999999997,287471.45501369535,3323037.183333333,582431.9762466967,78.03,37.33,24.23,79.7,54.9,5.32,444.55,201.8,32.9,7.263,9.51,885202.0,266009.0,179269.0
2011-04-01,4,2,2011,0.8660254037844387,-0.4999999999999998,3366596.7,3508479.7,4025377.4,3355649.6,3066705.6,3633484.6,346724.2008298974,3505699.3000000003,279380.1226360644,57.89,37.16,22.32,79.8,55.6,5.38,430.38,221.4,32.45,7.719,9.61,892819.0,267146.0,180384.0
2011-05-01,5,2,2011,0.49999999999999994,-0.8660254037844387,3281142.0,3366596.7,3508479.7,3229182.4,3406217.3,3385406.1333333333,114830.10731974643,3493281.366666667,288877.8644078793,103.03,32.37,17.55,77.3,58.3,5.43,405.45,225.6,32.34,7.816,9.69,894652.0,269383.0,180494.0
2011-06-01,6,2,2011,1.2246467991473532e-16,-1.0,3449296.2,3281142.0,3366596.7,3548910.0,2447053.5,3365678.3000000003,84080.8619028798,3529967.0,261290.4587841552,92.25,31.29,17.21,80.0,54.7,6.14,504.63,211.7,32.12,7.187,9.75,890362.0,269417.0,179174.0
2011-07-01,7,3,2011,-0.4999999999999997,-0.8660254037844388,2852221.3,3449296.2,3281142.0,4025377.4,2570558.1,3194219.8333333335,307881.8058054493,3413852.216666667,379327.84195900575,272.73,26.85,14.1,93.2,64.3,7.25,233.64,144.6,32.86,8.0,9.73,896151.0,270426.0,180884.0
2011-08-01,8,3,2011,-0.8660254037844385,-0.5000000000000004,2553839.7,2852221.3,3449296.2,3508479.7,2286196.0,2951785.733333333,455955.47275672003,3168595.9333333336,380579.2086575334,275.49,29.08,18.67,94.7,63.6,7.46,302.28,133.2,33.63,8.0,9.65,899478.0,272814.0,180910.0
2011-09-01,9,3,2011,-1.0,-1.8369701987210297e-16,2561198.3,2553839.7,2852221.3,3366596.7,2270624.0,2655753.1,170186.2287522706,3010715.6999999997,406953.7005564789,256.12,33.57,20.29,93.3,64.4,7.67,265.82,120.8,34.25,8.0,9.6,895609.0,272809.0,180296.0
2011-10-01,10,4,2011,-0.8660254037844386,0.5000000000000001,2454488.2,2561198.3,2553839.7,3281142.0,3355649.6,2523175.4,59598.538835863525,2858697.6166666667,417645.1440197222,344.96,25.71,17.67,92.9,63.9,4.56,287.54,126.6,35.31,7.781,9.48,898545.0,275044.0,180899.0
2011-11-01,11,4,2011,-0.5000000000000004,0.8660254037844384,3164959.7,2454488.2,2561198.3,3449296.2,3229182.4,2726882.066666667,383119.7867256451,2839333.9000000004,396288.98979284917,76.44,29.81,23.67,85.8,52.7,8.59,438.01,204.7,34.85,8.0,9.58,901254.0,275790.0,181961.0
2011-12-01,12,4,2011,-2.4492935982947064e-16,1.0,3478804.1,3164959.7,2454488.2,2852221.3,3548910.0,3032750.6666666665,524800.1401670966,2844251.8833333333,405449.83094373904,67.98,34.87,21.25,79.7,52.3,6.35,400.02,206.0,34.32,8.0,9.68,906149.0,278397.0,182747.0
2012-01-01,1,1,2012,0.49999999999999994,0.8660254037844387,3779646.1,3478804.1,3164959.7,2553839.7,4025377.4,3474469.966666667,307366.11901778536,2998822.6833333336,557403.599334832,79.26,35.77,24.17,80.1,55.0,5.85,436.45,201.1,33.79,8.0,9.77,904816.0,278877.0,182270.0
2012-02-01,2,1,2012,0.8660254037844386,0.5000000000000001,3199403.8,3779646.1,3478804.1,2561198.3,3508479.7,3485951.3333333335,290187.17043585086,3106416.6999999997,515025.81627125054,201.92,34.47,21.78,82.4,55.5,7.39,307.63,213.1,33.99,8.0,9.81,907936.0,280934.0,182523.0
2012-03-01,3,1,2012,1.0,6.123233995736766e-17,4108239.3,3199403.8,3779646.1,2454488.2,3366596.7,3695763.0666666664,460187.74861567747,3364256.8666666667,571621.2147954917,123.69,35.99,23.57,79.4,54.8,8.21,426.2,205.8,33.62,8.0,9.91,911591.0,282924.0,182437.0
2012-04-01,4,2,2012,0.8660254037844387,-0.4999999999999998,4130273.1,4108239.3,3199403.8,3164959.7,3281142.0,3812638.733333333,531191.2882200406,3643554.35,430072.8784113468,72.26,34.59,21.26,76.5,55.7,7.3,320.8,225.6,33.04,7.93,10.04,914710.0,281587.0,183872.0
2012-05-01,5,2,2012,0.49999999999999994,-0.8660254037844387,3491010.0,4130273.1,4108239.3,3478804.1,3449296.2,3909840.7999999993,362885.38322326116,3697896.0666666664,374516.2774597983,121.52,31.33,22.6,81.2,58.5,8.62,444.11,220.1,32.85,8.0,10.04,916293.0,285169.0,183840.0
2012-06-01,6,2,2012,1.2246467991473532e-16,-1.0,3517728.5,3491010.0,4130273.1,3779646.1,2852221.3,3713003.866666667,361612.6095360974,3704383.466666667,370275.236676687,150.31,30.13,16.61,82.0,52.6,7.76,404.75,216.2,32.81,7.805,10.08,914297.0,286461.0,183236.0
2012-07-01,7,3,2012,-0.4999999999999997,-0.8660254037844388,2781686.3,3517728.5,3491010.0,3199403.8,2553839.7,3263474.9333333336,417455.0095129591,3538056.8333333335,522539.3876335652,638.98,25.39,16.4,92.7,64.0,6.15,319.56,150.5,35.11,7.957,9.81,920262.0,288163.0,184665.0
2012-08-01,8,3,2012,-0.8660254037844385,-0.5000000000000004,2128206.2,2781686.3,3517728.5,4108239.3,2561198.3,2809207.0,695169.8333829582,3359523.9,780638.9613334982,400.57,26.66,16.62,97.3,66.2,7.31,304.98,112.5,36.38,8.0,9.62,919007.0,287703.0,185137.0
2012-09-01,9,3,2012,-1.0,-1.8369701987210297e-16,2204283.5,2128206.2,2781686.3,4130273.1,2454488.2,2371392.0,357355.56292464334,3042197.9333333336,802099.3649952123,596.58,27.35,17.72,91.8,68.0,6.34,328.7,139.1,38.42,8.0,9.36,923326.0,289210.0,185499.0
2012-10-01,10,4,2012,-0.8660254037844386,0.5000000000000001,1930072.0,2204283.5,2128206.2,3491010.0,3164959.7,2087520.5666666667,141560.86059664015,2675497.75,701843.1923391805,603.89,30.47,18.54,93.3,64.7,8.7,308.44,133.9,40.38,8.0,9.1,922279.0,292278.0,184901.0
2012-11-01,11,4,2012,-0.5000000000000004,0.8660254037844384,3011583.2,1930072.0,2204283.5,3517728.5,3478804.1,2381979.566666667,562226.411699915,2595593.283333333,611964.7359458214,105.2,30.51,18.36,80.4,56.7,7.29,499.73,208.4,39.72,8.0,9.19,928748.0,293935.0,186231.0
2012-12-01,12,4,2012,-2.4492935982947064e-16,1.0,3077860.5,3011583.2,1930072.0,2781686.3,3779646.1,2673171.9,644396.047597151,2522281.9499999997,494470.4624322997,155.67,33.59,17.99,83.2,54.1,3.6,498.51,209.4,39.31,8.0,9.28,926428.0,293295.0,185687.0
2013-01-01,1,1,2013,0.49999999999999994,0.8660254037844387,3582256.0,3077860.5,3011583.2,2128206.2,3199403.8,3223899.9,312109.74180443515,2655710.233333333,659081.3182308929,85.97,36.34,24.51,80.6,52.2,5.29,420.06,185.2,38.47,8.0,9.43,929771.0,294748.0,185981.0
2013-02-01,2,1,2013,0.8660254037844386,0.5000000000000001,3822775.2,3582256.0,3077860.5,2204283.5,4108239.3,3494297.233333333,380167.1159426676,2938138.4,745268.6811455883,80.61,34.68,24.28,81.5,55.5,5.73,372.62,213.6,37.57,8.0,9.61,930803.0,295336.0,186685.0
2013-03-01,3,1,2013,1.0,6.123233995736766e-17,3426113.2,3822775.2,3582256.0,1930072.0,4130273.1,3610381.466666667,199821.087394239,3141776.6833333336,667516.6101348744,78.19,36.51,22.93,79.8,56.7,3.78,335.64,188.4,36.9,8.0,9.7,931731.0,297236.0,187864.0
2013-04-01,4,2,2013,0.8660254037844387,-0.4999999999999998,3962992.7,3426113.2,3822775.2,3011583.2,3491010.0,3737293.7000000007,278460.43616958096,3480596.8000000003,386073.879380519,39.85,33.43,22.4,82.2,57.7,6.14,501.27,207.6,35.94,7.641,9.85,935457.0,300207.0,187159.0
2013-05-01,5,2,2013,0.49999999999999994,-0.8660254037844387,3664190.8,3962992.7,3426113.2,3077860.5,3517728.5,3684432.233333333,269011.4980769528,3589364.733333334,312414.9233378681,56.62,30.22,19.28,81.6,58.4,4.44,441.22,194.5,35.22,8.0,9.92,936052.0,301151.0,187524.0
2013-06-01,6,2,2013,1.2246467991473532e-16,-1.0,3599799.5,3664190.8,3962992.7,3582256.0,2781686.3,3742327.6666666665,193794.61442704417,3676354.566666667,190307.29814609268,74.51,31.86,16.79,78.9,52.9,5.72,443.41,201.8,34.59,8.0,9.98,940914.0,302210.0,188739.0
2013-07-01,7,3,2013,-0.4999999999999997,-0.8660254037844388,3143621.3,3599799.5,3664190.8,3822775.2,2128206.2,3469203.8666666667,283794.935942955,3603248.7833333337,291193.3373077979,284.02,27.85,13.58,97.1,64.3,7.0,308.44,146.6,35.09,8.0,9.9,940040.0,303955.0,188393.0
2013-08-01,8,3,2013,-0.8660254037844385,-0.5000000000000004,2669087.6,3143621.3,3599799.5,3426113.2,2204283.5,3137502.8000000003,465386.1162863495,3410967.516666666,453122.62230633915,328.62,28.14,16.32,97.2,63.3,7.67,290.54,138.7,35.94,7.983,9.82,942571.0,305193.0,188827.0
2013-09-01,9,3,2013,-1.0,-1.8369701987210297e-16,2446850.0,2669087.6,3143621.3,3962992.7,1930072.0,2753186.3000000003,355917.13169246336,3247756.983333333,599344.2548824553,188.2,26.3,15.62,94.4,68.9,7.72,249.58,146.5,36.09,8.0,9.76,945941.0,307509.0,189710.0
2013-10-01,10,4,2013,-0.8660254037844386,0.5000000000000001,2582219.3,2446850.0,2669087.6,3664190.8,3011583.2,2566052.3000000003,111997.39564021016,3017628.0833333335,530978.3598514706,235.35,31.24,17.32,97.1,62.7,7.53,405.31,135.5,36.4,7.612,9.71,946156.0,308884.0,189659.0
2013-11-01,11,4,2013,-0.5000000000000004,0.8660254037844384,3539668.0,2582219.3,2446850.0,3599799.5,3077860.5,2856245.766666667,595718.6194894061,2996874.283333333,502312.27336709766,87.47,31.89,19.66,78.4,55.9,7.63,458.27,199.8,35.79,8.0,9.83,948340.0,309746.0,190794.0
2013-12-01,12,4,2013,-2.4492935982947064e-16,1.0,3388351.4,3539668.0,2582219.3,3143621.3,3582256.0,3170079.5666666664,514693.0621282405,2961632.933333333,456918.3514279711,72.11,33.38,23.87,76.3,54.3,8.05,323.23,188.4,35.15,7.992,9.93,948327.0,311152.0,189389.0
2014-01-01,1,1,2014,0.49999999999999994,0.8660254037844387,3610067.7,3388351.4,3539668.0,2669087.6,3822775.2,3512695.6999999997,113292.3569659161,3039374.0,528196.5050432462,74.62,29.54,22.38,84.8,55.9,3.66,445.73,202.7,34.54,7.597,10.01,953249.0,314319.0,191244.0
2014-02-01,2,1,2014,0.8660254037844386,0.5000000000000001,3752960.5,3610067.7,3388351.4,2446850.0,3426113.2,3583793.1999999997,183719.10886838316,3220019.483333333,560580.8899283644,53.9,36.69,25.34,78.6,56.8,4.67,356.03,224.6,33.84,7.84,10.09,955123.0,313723.0,191407.0
2014-03-01,3,1,2014,1.0,6.123233995736766e-17,3573518.2,3752960.5,3610067.7,2582219.3,3962992.7,3645515.466666667,94827.70100854676,3407797.516666667,421155.8914882284,90.78,34.58,26.37,80.3,55.5,4.59,394.06,224.0,33.43,7.814,10.16,956282.0,314686.0,191478.0
